Wiki URL,Country,Plant name,Plant name (local script),Unit name,Fuel,Capacity elec. (MW),Status,Technology,CHP,Start year,Retired year,Planned retire,Owner,Parent,Latitude,Longitude,Location accuracy,Region,City,"Local area (taluk, county)","Major area (prefecture, district)","Subnational unit (province, state)",Other IDs (location),Other IDs (unit),Other plant names,"Captive [heat, power, both]",Captive industry type,"Captive non-industry use [heat, power, both, none]",GEM location ID,GEM unit ID
https://www.gem.wiki/Beijing_Energy_Zhuhai_Yuhai_Gas_Thermal_power_station,China,Beijing Energy Zhuhai Yuhai Gas Thermal power station,京能珠海钰海燃气热电厂,1,NG,465,operating,CC,Y,2020,NA,NA,"Beijing Energy Group Co Ltd. [85%]; Shenzhen Lilian Taiyang General Merchandise Co., Ltd. [15%]",Beijing Energy Group Co Ltd. [85%]; RICH LINK ENTERPRISES LIMITED [15%],22.093095,113.155431,exact,East Asia,Zhuhai,NA,Gaolan,Guangdong,NA,NA,NA,NA,NA,NA,L405608,G405228
https://www.gem.wiki/Beijing_Energy_Zhuhai_Yuhai_Gas_Thermal_power_station,China,Beijing Energy Zhuhai Yuhai Gas Thermal power station,京能珠海钰海燃气热电厂,2,NG,465,operating,CC,Y,2020,NA,NA,"Beijing Energy Group Co Ltd. [85%]; Shenzhen Lilian Taiyang General Merchandise Co., Ltd. [15%]",Beijing Energy Group Co Ltd. [85%]; RICH LINK ENTERPRISES LIMITED [15%],22.093095,113.155431,exact,East Asia,Zhuhai,NA,Gaolan,Guangdong,NA,NA,NA,NA,NA,NA,L405608,G405229
https://www.gem.wiki/Beijing_Zhengdong_Electronic_Power_Group_South_power_station,China,Beijing Zhengdong Electronic Power Group South power station,北京正东电子动力集团动力南厂,1,NG,122,operating,CC,Y,2009,NA,NA,"Beijing Electronics Sharesholding Co., Ltd. [100%]","Beijing State-owned Capital Operation Management Co., Ltd. [100%]",39.97191,116.494381,exact,East Asia,NA,NA,Chaoyang District,Beijing,NA,NA,Jiuxianqiao power station,NA,NA,NA,L405609,G405167
https://www.gem.wiki/CNOOC_Funing_Thermal_power_station,China,CNOOC Funing Thermal power station,中海油阜宁燃机热电厂,1,NG,100,operating,CC,Y,2022,NA,NA,"CNOOC Gas & Power Group Hanhai Energy Investment Co., Ltd. [51%]; Yancheng National Energy Investment Co., Ltd. [25%]; Huaihe Energy Gas Group Co., Ltd. [24%]","China National Offshore Oil Corporation (CNOOC) [51%]; Yancheng State-owned Assets Investment Group Co., Ltd. [20%]; other [5%]; Huaihe Energy Holding Group Co., Ltd. [19.9%]; China Cinda Asset Management Co., Ltd. [1.9%]; other [2.2%]",33.7704307,119.8411057,exact,East Asia,Yancheng,Funing,Economic Development District,Jiangsu,NA,NA,NA,NA,NA,NA,L405613,G405489
https://www.gem.wiki/CNOOC_Funing_Thermal_power_station,China,CNOOC Funing Thermal power station,中海油阜宁燃机热电厂,2,NG,100,construction,CC,Y,not found,NA,NA,"CNOOC Gas & Power Group Hanhai Energy Investment Co., Ltd. [51%]; Yancheng National Energy Investment Co., Ltd. [25%]; Huaihe Energy Gas Group Co., Ltd. [24%]","China National Offshore Oil Corporation (CNOOC) [51%]; Yancheng State-owned Assets Investment Group Co., Ltd. [20%]; other [5%]; Huaihe Energy Holding Group Co., Ltd. [19.9%]; China Cinda Asset Management Co., Ltd. [1.9%]; other [2.2%]",33.7704307,119.8411057,exact,East Asia,Yancheng,Funing,Economic Development District,Jiangsu,NA,NA,NA,NA,NA,NA,L405613,G405490
https://www.gem.wiki/CNOOC_Hainan_Yangpu_Gas_power_station,China,CNOOC Hainan Yangpu Gas power station,中海油海南洋浦电厂,1,NG,220,operating,CC,not found,1993,NA,NA,"CNOOC Gas & Power Group Co., Ltd. [95%]; other [5%]",China National Offshore Oil Corporation (CNOOC) [95%],19.724684,109.179912,exact,East Asia,Danzhou,NA,Yangpu,Hainan,WRI1029836,NA,"Hainan Yangpu Power Plant, Zhonghai Hainan Power Generation",NA,NA,NA,L405614,G405409
https://www.gem.wiki/CNOOC_Hainan_Yangpu_Gas_power_station,China,CNOOC Hainan Yangpu Gas power station,中海油海南洋浦电厂,2,NG,220,operating,CC,not found,1993,NA,NA,"CNOOC Gas & Power Group Co., Ltd. [95%]; other [5%]",China National Offshore Oil Corporation (CNOOC) [95%],19.724684,109.179912,exact,East Asia,Danzhou,NA,Yangpu,Hainan,WRI1029836,NA,"Hainan Yangpu Power Plant, Zhonghai Hainan Power Generation",NA,NA,NA,L405614,G405410
https://www.gem.wiki/CNOOC_Putian_Gas_power_station,China,CNOOC Putian Gas power station,中海福建燃气发电公司莆田燃气电厂,1-1,NG,390,operating,CC,not found,2010,NA,NA,"CNOOC Gas and Power Group Co., Ltd. [55%]; Huadian Fuxin Energy Co., Ltd. [25%]; Fujian Province Investment Development Group Co., Ltd. [20%]","China National Offshore Oil Corporation [55%]; China Huadian Corporation [25%]; Fujian Province Investment Development Group Co., Ltd. [20%]",25.219753,119.002784,exact,East Asia,Putian,Dongzhuang Town,Xiuyu District,Fujian,{'WRI': 'WRI1061030'},NA,"Fujian Qianyun Gas Power Station, China Shipping Fujian Gas Power Company Putian Gas Power Plant",NA,NA,NA,L405615,G405184
https://www.gem.wiki/CNOOC_Putian_Gas_power_station,China,CNOOC Putian Gas power station,中海福建燃气发电公司莆田燃气电厂,1-2,NG,390,operating,CC,not found,2010,NA,NA,"CNOOC Gas and Power Group Co., Ltd. [55%]; Huadian Fuxin Energy Co., Ltd. [25%]; Fujian Province Investment Development Group Co., Ltd. [20%]","China National Offshore Oil Corporation [55%]; China Huadian Corporation [25%]; Fujian Province Investment Development Group Co., Ltd. [20%]",25.219753,119.002784,exact,East Asia,Putian,Dongzhuang Town,Xiuyu District,Fujian,{'WRI': 'WRI1061030'},NA,"Fujian Qianyun Gas Power Station, China Shipping Fujian Gas Power Company Putian Gas Power Plant",NA,NA,NA,L405615,G405185
https://www.gem.wiki/CNOOC_Putian_Gas_power_station,China,CNOOC Putian Gas power station,中海福建燃气发电公司莆田燃气电厂,1-3,NG,390,operating,CC,not found,2010,NA,NA,"CNOOC Gas and Power Group Co., Ltd. [55%]; Huadian Fuxin Energy Co., Ltd. [25%]; Fujian Province Investment Development Group Co., Ltd. [20%]","China National Offshore Oil Corporation [55%]; China Huadian Corporation [25%]; Fujian Province Investment Development Group Co., Ltd. [20%]",25.219753,119.002784,exact,East Asia,Putian,Dongzhuang Town,Xiuyu District,Fujian,{'WRI': 'WRI1061030'},NA,"Fujian Qianyun Gas Power Station, China Shipping Fujian Gas Power Company Putian Gas Power Plant",NA,NA,NA,L405615,G405186
