Plant,Chinese Name,Capacity (MW),Status,Year,RETIRED,Planned Retire,Latitude,Longitude,Tracker ID,Annual CO2 (million tonnes / annum),"Subnational unit (province, state)",resource
China Resources Zhuhai Distributed Gas power station,珠海华润热电富山燃气发电厂,60,construction,2024,NA,NA,22.149907,113.14181,G405248,0.07884,Guangdong,gas
China Resources Zhuhai Distributed Gas power station,珠海华润热电富山燃气发电厂,60,construction,2024,NA,NA,22.149907,113.14181,G405249,0.07884,Guangdong,gas
Danyang Huahai Gas Thermal power station,丹阳华海燃机热电厂,100,construction,2021,NA,NA,32.048051,119.617207,G405497,0.1314,Jiangsu,gas
Danyang Huahai Gas Thermal power station,丹阳华海燃机热电厂,100,construction,2021,NA,NA,32.048051,119.617207,G405498,0.1314,Jiangsu,gas
Datang Baochang Gas power station,大唐宝昌燃气发电站,180,operating,2003,NA,NA,22.707372,114.027049,G405285,0.23652,Guangdong,gas
Datang Baochang Gas power station,大唐宝昌燃气发电站,180,operating,2004,NA,NA,22.707372,114.027049,G405286,0.23652,Guangdong,gas
Datang Baochang Gas power station,大唐宝昌燃气发电站,465,construction,2022,NA,NA,22.707372,114.027049,G405287,0.61101,Guangdong,gas
Datang Baochang Gas power station,大唐宝昌燃气发电站,465,construction,2022,NA,NA,22.707372,114.027049,G405288,0.61101,Guangdong,gas
Datang Beijing Gaojing Thermal power station,大唐国际北京高井热电厂,350,operating,2014,NA,NA,39.942703,116.127166,G405177,0.4599,Beijing,gas
Datang Beijing Gaojing Thermal power station,大唐国际北京高井热电厂,350,operating,2014,NA,NA,39.942703,116.127166,G405178,0.4599,Beijing,gas
Datang Foshan Gas power station,大唐佛山燃气发电站,400,construction,2022,NA,NA,22.907718,112.813399,G405791,0.5256,Guangdong,gas
Datang Foshan Gas power station,大唐佛山燃气发电站,400,construction,2022,NA,NA,22.907718,112.813399,G405792,0.5256,Guangdong,gas
Datang Gaoyao Jintao Gas Thermal power station,大唐高要金淘燃气热电站,400,operating,2018,NA,NA,23.13353,112.778383,G405283,0.5256,Guangdong,gas
Datang Gaoyao Jintao Gas Thermal power station,大唐高要金淘燃气热电站,400,operating,2018,NA,NA,23.13353,112.778383,G405284,0.5256,Guangdong,gas
Datang Haikou Gas power station,大唐海口天然气发电厂,487,construction,2022,NA,NA,19.913828,110.151883,G405426,0.639918,Hainan,gas
Datang Haikou Gas power station,大唐海口天然气发电厂,487,construction,2022,NA,NA,19.913828,110.151883,G405427,0.639918,Hainan,gas
Datang Jiangshan Xincheng Thermal power station,大唐国际江山新城燃机热电厂,120,operating,2013,NA,NA,28.629348,118.529704,G405727,0.15768,Zhejiang,gas
Datang Jiangshan Xincheng Thermal power station,大唐国际江山新城燃机热电厂,120,operating,2013,NA,NA,28.629348,118.529704,G405728,0.15768,Zhejiang,gas
Datang Jiangyan Gas Thermal power station,大唐姜堰燃机热电厂,180,operating,2017,NA,NA,32.481428,120.097338,G405582,0.23652,Jiangsu,gas
Datang Jiangyan Gas Thermal power station,大唐姜堰燃机热电厂,180,operating,2017,NA,NA,32.481428,120.097338,G405583,0.23652,Jiangsu,gas
Datang Jintan Gas Thermal power station,大唐国际金坛燃机热电厂,459,operating,2019,NA,NA,31.773087,119.608947,G405584,0.603126,Jiangsu,gas
Datang Jintan Gas Thermal power station,大唐国际金坛燃机热电厂,459,operating,2019,NA,NA,31.773087,119.608947,G405585,0.603126,Jiangsu,gas
Datang Lishui Gas Thermal power station,大唐溧水燃机热电厂,100,operating,2021,NA,NA,31.680566,118.999543,G405588,0.1314,Jiangsu,gas
