year,nuclear,BECCS,CHP,Hydro,Coal,Gas,coal_ccs,gas_ccs
2020,58,0,498,0,1036.538,95.7044,0,0
2030,111.33333333333334,0,435,441,842.4064000000001,127.661,273.4176,0
2040,164.66666666666669,36.666666666666664,372,505.5,546.4880433333333,100.56375,482.99349,24.32475
2050,218,73.33333333333333,309,570,269.3475666666667,48.99347000000001,280.4951,46.688129999999994
2060,218,110,246,580,23.102000000000036,27.928600000000003,5.053999999999971,4.027999999999997
