Tracker ID,TrackerLOC,ParentID,Wiki page,Country,"Subnational unit (province, state)",Unit,Plant,Chinese Name,Other names,Sponsor,Parent,Capacity (MW),Status,Year,RETIRED,Planned Retire,Combustion technology,Coal type,Coal source,Location,"Local area (taluk, county)","Major area (prefecture, district)",Region,Latitude,Longitude,Accuracy,Permits,Captive,Captive industry use,Captive residential use,Heat rate (Btu per kWh),Emission factor (kg of CO2 per TJ),Capacity factor,Annual CO2 (million tonnes / annum),Lifetime CO2,Remaining plant lifetime (years),resource,final_end_year,final_start_year
G109185,L101280,Q200732,https://www.gem.wiki/Shenhua_Shenmu_power_station,China,Shaanxi,Shenhua Shenmu-2 power station Unit 1,Shenhua Shenmu power station,神华中电国华神木发电公司,店塔电厂,China Shenhua Energy Co 51%; CLP China Shenmu Co (中电中国神木有限公司) 49%.,"National Energy Investment Group (51%), CLP Group (49%)",110,operating,2000,NA,NA,subcritical,unknown,NA,Dianta Town,Shenmu,Yulin,East Asia,38.965468,110.458076,exact,NA,NA,NA,NA,12183,96100,51.00%,0.6,11.5,19,coal,2040,2000
G109186,L101280,Q200732,https://www.gem.wiki/Shenhua_Shenmu_power_station,China,Shaanxi,Shenhua Shenmu-2 power station Unit 2,Shenhua Shenmu power station,神华中电国华神木发电公司,店塔电厂,China Shenhua Energy Co 51%; CLP China Shenmu Co (中电中国神木有限公司) 49%.,"National Energy Investment Group (51%), CLP Group (49%)",110,operating,2000,NA,NA,subcritical,unknown,NA,Dianta Town,Shenmu,Yulin,East Asia,38.965468,110.458076,exact,NA,NA,NA,NA,12183,96100,51.00%,0.6,11.5,19,coal,2040,2000
G109187,L101280,P102056,https://www.gem.wiki/Shenhua_Shenmu_power_station,China,Shaanxi,Shenhua Shenmu-3 power station Unit 1,Shenhua Shenmu power station,神华神东电力店塔电厂,NA,Shenhua Shendong Electric Power Corp,National Energy Investment Group,660,operating,2015,NA,NA,supercritical,unknown,NA,Dianta Town,Shenmu,Yulin,East Asia,38.965468,110.458076,exact,2013-12-6,NA,NA,NA,8409,96100,51.00%,2.5,85.5,34,coal,2055,2015
G109188,L101280,P102056,https://www.gem.wiki/Shenhua_Shenmu_power_station,China,Shaanxi,Shenhua Shenmu-3 power station Unit 2,Shenhua Shenmu power station,神华神东电力店塔电厂,NA,Shenhua Shendong Electric Power Corp,National Energy Investment Group,660,operating,2015,NA,NA,supercritical,unknown,NA,Dianta Town,Shenmu,Yulin,East Asia,38.965468,110.458076,exact,2013-12-6,NA,NA,NA,8409,96100,51.00%,2.5,85.5,34,coal,2055,2015
G102163,L101459,P102056,https://www.gem.wiki/Shenhua_Shentou_power_station,China,Shanxi,Shenhua Shentou power station Unit 1,Shenhua Shentou power station,神华国能神头第二发电厂一期,NA,Shenhua Guoneng Energy Group,National Energy Investment Group,500,operating,1992,NA,NA,subcritical,bituminous,NA,Shentou,Shuocheng,Shuozhou,East Asia,39.3647887,112.5332671,exact,NA,NA,NA,NA,10442,94600,51.00%,2.3,25.6,11,coal,2032,1992
G102164,L101459,P102056,https://www.gem.wiki/Shenhua_Shentou_power_station,China,Shanxi,Shenhua Shentou power station Unit 2,Shenhua Shentou power station,神华国能神头第二发电厂一期,NA,Shenhua Guoneng Energy Group,National Energy Investment Group,500,operating,1993,NA,NA,subcritical,bituminous,NA,Shentou,Shuocheng,Shuozhou,East Asia,39.3647887,112.5332671,exact,NA,NA,NA,NA,10442,94600,51.00%,2.3,27.9,12,coal,2033,1993
G109189,L100276,P102056,https://www.gem.wiki/Shenhua_Wanzhou_power_station,China,Chongqing,Shenhua Wanzhou power station Unit 1,Shenhua Wanzhou power station,神华神东电力重庆万州港电公司万州电厂一期,NA,Shenhua Shendong Electric Power Corp,National Energy Investment Group,1000,operating,2015,NA,NA,ultra-super,unknown,NA,Xintian Town,Wanzhou,NA,East Asia,30.677938,108.398976,exact,2012-7-25,NA,NA,NA,8272,96100,51.00%,3.7,127.4,34,coal,2055,2015
G109190,L100276,P102056,https://www.gem.wiki/Shenhua_Wanzhou_power_station,China,Chongqing,Shenhua Wanzhou power station Unit 2,Shenhua Wanzhou power station,神华神东电力重庆万州港电公司万州电厂一期,NA,Shenhua Shendong Electric Power Corp,National Energy Investment Group,1000,operating,2015,NA,NA,ultra-super,unknown,NA,Xintian Town,Wanzhou,NA,East Asia,30.677938,108.398976,exact,2012-7-25,NA,NA,NA,8272,96100,51.00%,3.7,127.4,34,coal,2055,2015
G109195,L100951,P102056,https://www.gem.wiki/Shenhua_Wuhai_Xilaifeng_power_station,China,Inner Mongolia,Shenhua Wuhai Xilaifeng 1,Shenhua Wuhai Xilaifeng power station,神华乌海能源公司西来峰发电厂一期,NA,Shenhua Wuhai Energy Co,National Energy Investment Group,200,operating,2010,NA,NA,subcritical,wstcoal,NA,Xilaifeng,Hainan District,Wuhai,East Asia,39.370805,106.892505,exact,2008-10,NA,NA,NA,11313,94600,51.00%,1,29.3,29,coal,2050,2010
G109196,L100951,P102056,https://www.gem.wiki/Shenhua_Wuhai_Xilaifeng_power_station,China,Inner Mongolia,Shenhua Wuhai Xilaifeng 2,Shenhua Wuhai Xilaifeng power station,神华乌海能源公司西来峰发电厂一期,NA,Shenhua Wuhai Energy Co,National Energy Investment Group,200,operating,2010,NA,NA,subcritical,wstcoal,NA,Xilaifeng,Hainan District,Wuhai,East Asia,39.370805,106.892505,exact,2008-10,NA,NA,NA,11313,94600,51.00%,1,29.3,29,coal,2050,2010
G109197,L101281,Q200733,https://gem.wiki/Shenhua_Yangguang_power_station,China,Shaanxi,Shenhua Yangguang power station Unit 1,Shenhua Yangguang power station,神华阳光神木发电公司,NA,Shenhua Shendong Electric Power Corp 65%; Shaanxi Local Electric Power Generation Co (陕西省地方电力发电有限公司) 35%.,"National Energy Investment Group (65%), Shaanxi Electric Power Group (35%)",135,operating,2006,NA,NA,subcritical,unknown,NA,Dianta Town,Shenmu,Yulin,East Asia,38.979897,110.448794,exact,NA,NA,NA,NA,11313,96100,51.00%,0.7,17.3,25,coal,2046,2006
